,Tracks,URI
0,Prisoner,1gZADNt16Oh23jWyMYRk4p
1,Lyrics Lie,46IUSULlL2SAmyyHHpXQJz
2,Calentamiento Global,7Dju1FHuCiOlOkIXyNYKOU
3,Three Wishes,4f1UHjDNVil4WUop0Nkp8m
4,One in a Million,4MpXaXYhkGMw4gt3ZlS7sQ
5,Parody Catharsis,2BtNEbWuP3v4OQiEqcGQSf
6,Strawberry’s Wake,4dRNNBipJ6wwSEEwa4FfcY
7,Born To Fail,4iiD1bJ533OUgin3LoEm66
8,Parallels,0sBcytMq91qLPL7HRFOMS0
9,Night Sway,1Tkl58ouuDosumuf6XIbfT
10,Say Hi,5CgSbhQb8alq076PQmGcsQ
11,Nothing Shameful (feat. Andrew Wells),4PSMNdBxCQ02el8dYzjd7C
12,Into The Sunset (feat. Bilmuri),0njH70oSRQEpiACG5V3WpD
13,Untitled - Instrumental,4J39yzbQn393BrIvqlEdof
14,And I Told Them I Invented Times New Roman - Instrumental,3GjIB8IyK1sdn5LH9becgw
15,It's Safe To Say You Dig The Backseat - Instrumental,6UVweT4ZoVyhYS8Vgsm3Zx
16,Strawberry André - Instrumental,5QcAw5ybeQkORRGBlNinf1
17,Lemon Meringue Tie - Instrumental,7kNJBblLGJU390Xasfnco3
18,The Backwards Pumpkin Song - Instrumental,4QHgr50oRozf0Orf1SYx7g
19,Antlion - Instrumental,49pYzKq9EhpxZgFyuEvkJ7
20,"Turn Off The Lights, I'm Watching Back To The Future - Instrumental",4JdmklZM92SOo0QQNyI6bi
21,Open Your Eyes And Look North - Instrumental,6IY324unVCWlnQUDW4vVH1
22,"Surprise! I'm From Cuba, Everyone Has One Brain - Instrumental",0t0yBjKvjpxn2qiHua5HVF
23,"12 Hours, 630 Miles - Instrumental",4YyRkeCk3be8gEWuxD6ZMe
24,Jesus H. Macy,7pOPb4HbCI0o0Uk9g0TP0A
25,"The Robot with Human Hair, Pt. 4",3SGTMvCT1D9MCNo4RRphui
26,Acceptance Speech,7FZt9GEgjVQvF2DV3ZEEtP
27,Carve,3hcovt5ftpN3f7FL3KplLA
28,Doom & Gloom,54e9RnHu3srfQclZDKyPMm
29,"Strawberry Swisher, Pt. 3",46Pr274Tf20gS0vyts6AEA
30,Honey Revenge,6jOLXyWjsizISvk1YaY0UR
31,Demo Team,31sBgQcqpI0zsJUhwFSeJs
32,Death of the Robot with Human Hair,705xP529nka1EOEZ2ZXY0N
33,The Jiggler,5qYF2ditYEaAPYxepyMjlj
